,id,ad,education,ofjobs,yearsexp,honors,volunteer,military,empholes,occupspecific,occupbroad,workinschool,email,computerskills,specialskills,firstname,sex,race,h,l,call,city,kind,adid,fracblack,fracwhite,lmedhhinc,fracdropout,fraccolp,linc,col,expminreq,schoolreq,eoe,parent_sales,parent_emp,branch_sales,branch_emp,fed,fracblack_empzip,fracwhite_empzip,lmedhhinc_empzip,fracdropout_empzip,fraccolp_empzip,linc_empzip,manager,supervisor,secretary,offsupport,salesrep,retailsales,req,expreq,comreq,educreq,compreq,orgreq,manuf,transcom,bankreal,trade,busservice,othservice,missind,ownership,black,female,adm,boston,college,zyearsexp,zofjobs,sumq,zsumq,sumq_med,half,qall,qallxb,qblack,qblackxb,qwhite,qwhitexb,qall_med,qallxb_med,qblack_med,qblackxb_med,qwhite_med,qwhitexb_med
959,b,14,4,4,11,0,1,0,0,13,1,1,1,1,0,Latoya,f,b,1.0,0.0,0.0,c,a,601.0,0.5308703,0.29444152,10.244059,0.21617366,0.09434806,9.266626,1.0,,,1.0,52.8,784.0,,,0.0,0.21724904,0.49577343,9.965053,0.1972654,0.22342981,9.422949,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Nonprofit,1,1,1,0,0,0.6258329520126058,0.2777429361629978,4.625832952012606,0.8201479231079881,1,1,0.059328421760595475,0.059328421760595475,0.05303254063120978,0.04086216213031183,0.0630994154479427,0.03350138414450611,0,0,0,0,0,0
2224,b,228,3,3,4,0,1,0,1,33,1,1,1,1,1,Kenya,f,b,1.0,0.0,0.0,b,a,859.0,0.018669743,0.8738047,10.039984,0.27488542,0.09255943,9.381095,0.0,some,,0.0,,,,,0.0,0.014355401,0.9687805,10.664411,0.09783972,0.2579791,9.808792,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Private,1,1,1,1,0,-0.7617862567099783,-0.5425166751855762,5.2382137432900215,1.1717854521975497,1,1,0.13950151412886563,0.13950151412886563,0.11405005268488722,0.11396253016475433,0.16350776408521872,0.1681755084108001,1,1,1,1,1,1
4232,b,7,4,4,6,0,1,0,1,195,1,0,1,1,0,Anne,f,w,1.0,0.0,0.0,c,a,1209.0,0.45430297,0.27144918,9.895607,0.24814151,0.15117194,9.291091,1.0,,,0.0,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,1,1,0,0,-0.3653236256463829,0.2777429361629978,3.6346763743536172,0.25101209312571576,1,1,0.0546669355908706,0.0546669355908706,0.049385205997984495,0.03921608850465259,0.06143506781428411,0.03159730764400322,0,0,0,0,0,0
4123,a,60b,4,4,6,0,0,0,0,285,4,1,0,1,0,Kareem,m,b,0.0,1.0,0.0,b,s,351.0,0.05473522,0.8104726,9.841985,0.015655577,0.2242187,9.321345,1.0,,colp,1.0,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Private,1,0,0,1,0,-0.3653236256463829,0.2777429361629978,1.6346763743536172,-0.8974155979390274,0,1,0.03822182636968442,0.03822182636968442,0.03409452673530628,0.014130334113233072,0.04066042320108677,0.039668726842455544,0,0,0,0,0,0
527,b,11,4,4,5,0,1,0,0,13,1,1,1,1,0,Jill,f,w,1.0,0.0,0.0,c,a,516.0,0.11662389,0.72833925,10.287047,0.13984276,0.36563608,9.933725,1.0,,,0.0,,,,,0.0,0.0,0.9964731,10.73594,0.06865157,0.15551181,9.647885,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Private,0,1,1,0,0,-0.5635549411781806,0.2777429361629978,3.4364450588218194,0.13718492712926117,0,1,0.04808451854896844,0.04808451854896844,0.03982204701367049,0.02918029988735668,0.05412183103128493,0.030016663568633337,0,0,0,0,0,0
4107,354,6,4,6,18,0,1,0,0,13,1,0,0,1,0,Meredith,f,w,1.0,0.0,0.0,b,s,189.0,0.43639466,0.3334244,9.967448,0.18040287,0.1447593,9.17378,1.0,3,,0.0,275.9,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Public,0,1,0,1,0,2.0134521607351896,1.9182621588601458,4.01345216073519,0.46851039401842653,1,1,0.041633458818502174,0.041633458818502174,0.057699654439797174,0.08561847919372151,0.03170087330832831,0.03245843970865531,0,0,1,1,0,0
1654,19,19,4,4,2,0,1,1,0,267,4,1,1,1,0,Allison,f,w,1.0,0.0,0.0,b,s,51.0,0.022391992,0.221549,9.614338,0.3561644,0.18756586,9.520982,1.0,,,0.0,,,,,,0.0031500955,0.98322904,10.873944,0.054705177,0.3091974,9.955795,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,1,0,1,0,-1.158248887773574,0.2777429361629978,3.841751112226426,0.369917274672269,1,1,0.026432855435054546,0.026432855435054546,0.008156115091403406,0.004301759037419411,0.04802886800804562,0.06672434266784663,0,0,0,0,0,0
1864,b,2,3,4,6,0,0,0,0,185,1,1,0,1,0,Meredith,f,w,0.0,1.0,0.0,c,a,795.0,0.0027956835,0.9521402,10.453601,0.23644528,0.124980085,9.621058,0.0,3,,1.0,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,1,1,0,0,-0.3653236256463829,0.2777429361629978,1.6346763743536172,-0.8974155979390274,0,1,0.03822182636968442,0.03822182636968442,0.03409452673530628,0.028999649318436432,0.04066042320108677,0.020653037090157245,0,0,0,0,0,0
4015,b,6,4,4,6,0,1,0,0,313,5,1,1,1,0,Latonya,f,b,1.0,0.0,0.0,c,a,1167.0,0.9885199,0.008148465,10.112573,0.19383714,0.14505339,9.372459,1.0,some,colp,1.0,33.4,550.0,33.4,550.0,0.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Private,1,1,1,0,0,-0.3653236256463829,0.2777429361629978,3.6346763743536172,0.25101209312571576,1,1,0.04983008420898629,0.04983008420898629,0.04181648459473813,0.019737315175259635,0.05554359200040988,0.03447066711389338,0,0,0,0,0,0
2231,b,229,3,3,7,0,0,0,1,385,6,1,0,1,1,Laurie,f,w,0.0,1.0,0.0,b,a,860.0,0.018669743,0.8738047,10.039984,0.27488542,0.09255943,9.381095,0.0,2,,0.0,,,,,0.0,0.025884282,0.9405013,11.155064,0.051710002,0.44747013,10.362652,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0,1,1,1,0,-0.16709231011458517,-0.5425166751855762,3.832907689885415,0.3648392591221703,1,1,0.12381556631998003,0.12381556631998003,0.10921229568810426,0.17912652401650603,0.13753655550606747,0.2101832467868589,1,1,1,1,1,1
